,Zone,State,City,Name,Type,Establishment Year,time needed to visit in hrs,Google review rating,Entrance Fee in INR,Airport with 50km Radius,Weekly Off,Significance,DSLR Allowed,Best Time to visit,,Description
136,Central,Madhya Pradesh,Khajuraho,Khajuraho Group of Monuments,Temples,-850,2,4.7,40,No,None,Cultural,Yes,Afternoon,,UNESCO-listed temples celebrated worldwide for their intricate sculptures and exceptional Nagara architecture.
137,Central,Madhya Pradesh,Bhopal,Sanchi Stupa,Monument,-300,1.5,4.7,30,Yes,None,Historical,Yes,Afternoon,,"One of Buddhism's oldest stone monuments, showcasing remarkable carvings and historical significance."
138,Central,Madhya Pradesh,Indore,Rajwada Palace,Palace,1747,1,4.4,10,Yes,None,Historical,Yes,Afternoon,,A grand seven-story palace reflecting the royal heritage and architectural elegance of Indore.
139,Central,Madhya Pradesh,Gwalior,Gwalior Fort,Fort,900,2.5,4.5,75,Yes,None,Historical,Yes,Morning,,"A majestic hilltop fortress featuring magnificent palaces, temples, and centuries of royal history"
140,Central,Madhya Pradesh,Ujjain,Mahakaleshwar Jyotirlinga,Temple,-3500,1.5,4.8,0,Yes,None,Religious,No,All,,"One of the twelve sacred Jyotirlingas, revered for its spiritual significance and unique Bhasma Aarti."
141,Central,Madhya Pradesh,Jabalpur,Dhuandhar Falls,Waterfall,Unknown,1,4.5,0,No,None,Nature,Yes,Morning,,"A spectacular waterfall on the Narmada River, famous for its misty spray and marble surroundings."
142,Central,Madhya Pradesh,Pachmarhi,Bee Falls,Waterfall,Unknown,1.5,4.6,15,No,None,Nature,Yes,Morning,,"A refreshing waterfall near Pachmarhi, offering crystal-clear waters and scenic natural beauty."
143,Central,Madhya Pradesh,Kanha,Kanha National Park,Wildlife Sanctuary,1955,3,4.5,100,No,None,Wildlife,Yes,Morning,,"One of India's finest tiger reserves, renowned for its rich wildlife and lush sal forests."
144,Central,Madhya Pradesh,Bandhavgarh,Bandhavgarh National Park,National Park,1968,3,4.5,50,No,None,Wildlife,Yes,Morning,,A premier tiger reserve known for its high tiger population and historic hill fort.
145,Central,Madhya Pradesh,Orchha,Orchha Fort,Fort,1500,1.5,4.8,10,No,None,Historical,Yes,Afternoon,,A magnificent fort complex showcasing Bundela architecture along the scenic Betwa River.
146,Central,Madhya Pradesh,Mandu,Jahaz Mahal,Site,1500,1,3.9,50,No,None,Historical,Yes,Afternoon,,"A unique palace appearing to float between two lakes, reflecting elegant Afghan architecture."
147,Central,Madhya Pradesh,Bhimbetka,Bhimbetka Rock Shelters,Prehistoric Site,1958,2,4.6,25,No,None,Archaeological,Yes,Afternoon,,UNESCO-listed prehistoric caves featuring ancient rock paintings dating back thousands of years.
148,Central,Madhya Pradesh,Amarkantak,Narmada Udgam Temple,Temple,1200,1,4.4,0,No,None,Religious,Yes,All,,A sacred temple marking the origin of the holy Narmada River at Amarkantak.
149,Central,Madhya Pradesh,Chitrakoot,Chitrakoot Falls,Waterfall,Unknown,1.5,4.4,0,No,None,Nature,Yes,Morning,,"India's widest waterfall, often called the ""Niagara Falls of India"" for its impressive grandeur."
150,Northern,Himachal Pradesh,Shimla,The Ridge,Scenic Point,Unknown,1,4.7,0,Yes,None,Recreational,Yes,Morning,,Shimla's iconic open promenade offering panoramic Himalayan views and vibrant local gatherings.
151,Northern,Himachal Pradesh,Manali,Solang Valley,Valley,Unknown,2,4.1,0,No,None,Adventure,Yes,Morning,,"A popular adventure destination offering skiing, paragliding, ziplining, and breathtaking mountain scenery."
152,Northern,Himachal Pradesh,dalhousie,Dalai Lama Temple,Temple,1959,1.5,4.7,0,Yes,None,Religious,No,All,,A peaceful Buddhist monastery in Dharamshala associated with His Holiness the Dalai Lama.
153,Northern,Himachal Pradesh,Dalhousie,Khajjiar Lake,Lake,Unknown,1.5,4.5,0,No,None,Nature,Yes,Morning,,"A serene lake surrounded by lush meadows and cedar forests, often called the ""Mini Switzerland of India."""
154,Northern,Himachal Pradesh,Spiti Valley,Key Monastery,Monastery,1100,1,4.8,0,No,None,Religious,Yes,Morning,,A spectacular hilltop Tibetan monastery overlooking the Spiti Valley with centuries of spiritual heritage.
155,Northern,Himachal Pradesh,Kullu,Great Himalayan National Park,National Park,1984,3,4.5,50,No,None,Wildlife,Yes,All,,A UNESCO World Heritage Site preserving pristine Himalayan ecosystems and diverse wildlife.
156,Northern,Himachal Pradesh,Chamba,Chamera Lake,Lake,Unknown,2,4.4,0,No,None,Recreational,Yes,Morning,,"A picturesque reservoir offering boating, photography, and scenic views amidst Himalayan landscapes."
157,Northern,Himachal Pradesh,Kinnaur,Sangla Valley,Valley,Unknown,2,4.5,0,No,None,Nature,Yes,Morning,,"A beautiful Himalayan valley renowned for apple orchards, traditional villages, and snow-capped peaks."
158,Northern,Himachal Pradesh,Kangra,Kangra Fort,Fort,400,2,4.4,150,Yes,None,Historical,Yes,All,,"One of India's oldest forts, showcasing rich history and commanding views of the Kangra Valley."
159,Northern,Himachal Pradesh,Palampur,Tea Gardens,Tea Plantation,1950,1.5,4.6,0,Yes,None,Agricultural,Yes,Morning,,"Lush hillside plantations offering scenic landscapes, tea-tasting experiences, and refreshing mountain air."
160,Northern,Himachal Pradesh,Mandi,Prashar Lake,Lake,1400,1.5,4.6,0,No,None,Nature,Yes,Morning,,A serene high-altitude lake featuring a floating island and an ancient hilltop temple.
161,Northern,Himachal Pradesh,Bir Billing,Paragliding Site,Adventure Sport,2005,2,4.8,2500,No,None,Adventure,Yes,All,,"A thrilling adventure destination offering unforgettable aerial views of valleys, mountains, and forests."
162,Northern,Himachal Pradesh,McLeod Ganj,Triund Trek,Trekking,Unknown,5,4.8,0,Yes,None,Adventure,Yes,Morning,,A popular Himalayan trekking trail known for breathtaking views of the Dhauladhar mountain range.
163,Northern,Himachal Pradesh,Manikaran,Manikaran Sahib,Gurudwara,1980,1,4.6,0,No,None,Religious,Yes,Morning,,A sacred Sikh pilgrimage site famous for its hot springs and peaceful riverside setting.
164,Northern,Himachal Pradesh,Narkanda,Hatu Peak,Viewpoint,Unknown,2,4.5,0,Yes,None,Nature,Yes,All,,A scenic mountain summit offering panoramic Himalayan views and a historic temple at the top.
165,Northern,Himachal Pradesh,Barot,Barot Valley,Valley,Unknown,2,4.7,0,No,None,Nature,Yes,Morning,,"A peaceful Himalayan valley known for trout fishing, pine forests, and scenic trekking trails."
166,Northern,Himachal Pradesh,Shoja,Serolsar Lake,Lake,Unknown,2.5,4.4,0,No,None,Nature,Yes,Morning,,A pristine alpine lake surrounded by dense forests and revered for its tranquil atmosphere.
167,Northern,Himachal Pradesh,Kufri,Kufri Fun World,Ski Resort,1975,5,3.8,1500,Yes,None,Recreational,Yes,All,,"A hilltop amusement park offering rides, adventure activities, and spectacular mountain views."
168,Northern,Uttarakhand,Nainital,Naini Lake,Lake,Unknown,1.5,4.2,0,Yes,None,Nature,Yes,Morning,,"The heart of Nainital, this scenic lake is ideal for boating and surrounded by picturesque hills."
169,Northern,Uttarakhand,Rishikesh,Laxman Jhula,Suspension Bridge,1939,1,4.4,0,Yes,None,Cultural,Yes,Morning,,"A famous suspension bridge across the Ganges, associated with mythology and spiritual significance."
170,Northern,Uttarakhand,Haridwar,Har Ki Pauri,Ghat,Unknown,1,4.5,0,Yes,None,Religious,Yes,All,,"Haridwar's most sacred ghat, renowned for the mesmerizing evening Ganga Aarti ceremony."
171,Northern,Uttarakhand,Dehradun,Robber's Cave,Cave,Unknown,1.5,4.5,25,Yes,None,Nature,Yes,Morning,,A fascinating natural cave featuring a stream flowing through narrow limestone formations.
172,Northern,Uttarakhand,Mussoorie,Kempty Falls,Waterfall,Unknown,1.5,4.2,15,Yes,None,Nature,Yes,Morning,,"A popular cascading waterfall surrounded by lush hills, perfect for sightseeing and recreation."
173,Northern,Uttarakhand,Auli,Auli Ski Resort,Ski Resort,1990,3,4.5,0,No,None,Adventure,Yes,Morning,,"India's premier skiing destination, offering snow-covered slopes and breathtaking Himalayan panoramas."
174,Northern,Uttarakhand,Badrinath,Badrinath Temple,Temple,-820,1,4.8,0,No,None,Religious,No,All,,One of the sacred Char Dham pilgrimage sites dedicated to Lord Vishnu in the Himalayas.
175,Northern,Uttarakhand,Almora,Binsar Wildlife Sanctuary,Wildlife Sanctuary,1988,2,4.3,150,No,None,Wildlife,Yes,All,,A serene forest sanctuary known for Himalayan wildlife and panoramic mountain viewpoints.
176,Northern,Uttarakhand,Ranikhet,Chaubatia Gardens,Orchard,1868,1,4,50,No,None,Recreational,Yes,All,,Beautiful orchards and botanical gardens offering spectacular Himalayan views and seasonal blossoms.
177,Northern,Uttarakhand,Jim Corbett,Jim Corbett National Park,National Park,1936,3,4.4,100,Yes,None,Wildlife,Yes,All,,"India's oldest national park, famous for Bengal tiger safaris and rich biodiversity."
178,Northern,Uttarakhand,Uttarkashi,Gangotri Temple,Temple,1751,1,4.8,0,No,None,Religious,No,All,,A revered Himalayan shrine dedicated to Goddess Ganga near the origin of the sacred river.
179,Northern,Uttarakhand,Chopta,Tungnath Temple,Temple,751,2,4.8,0,No,None,Religious,No,All,,"The world's highest Shiva temple, accessible via a scenic Himalayan trekking route."
180,Northern,Uttarakhand,Joshimath,Valley of Flowers,National Park,1982,5,4.7,150,No,None,Nature,Yes,Morning,,A UNESCO World Heritage Site renowned for colorful alpine flowers and breathtaking mountain scenery.
181,Central,Uttar Pradesh,Agra,Taj Mahal,Mausoleum,1632,2,4.6,50,Yes,Friday,Historical,Yes,Morning,,A UNESCO World Heritage monument celebrated as the world's finest symbol of eternal love and Mughal architecture.
182,Central,Uttar Pradesh,Varanasi,Kashi Vishwanath Temple,Temple,Unknown,1,4.7,0,Yes,None,Religious,No,All,,"One of Hinduism's holiest temples, dedicated to Lord Shiva on the banks of the Ganges."
183,Central,Uttar Pradesh,Lucknow,Bara Imambara,Monument,1784,1.5,4.4,50,Yes,Monday,Historical,No,All,,A magnificent historical complex famous for its grand hall and the mysterious Bhool Bhulaiya labyrinth.
184,Central,Uttar Pradesh,Mathura,Krishna Janmabhoomi,Temple,Unknown,1,4.7,0,Yes,None,Religious,No,All,,A sacred pilgrimage site believed to mark the birthplace of Lord Krishna in Mathura.
185,Central,Uttar Pradesh,Ayodhya,Ram Janmabhoomi,Religious Site,Unknown,1,4.8,0,Yes,None,Religious,No,All,,A revered Hindu pilgrimage site believed to be the birthplace of Lord Rama in Ayodhya.
186,Central,Uttar Pradesh,Vrindavan,Banke Bihari Temple,Temple,1864,1,4.8,0,Yes,None,Religious,No,All,,"A famous Vrindavan temple dedicated to Lord Krishna, attracting devotees from across the world."
187,Central,Uttar Pradesh,Allahabad,Triveni Sangam,Confluence,Unknown,1,4.5,0,Yes,None,Religious,Yes,Morning,,"The sacred confluence of the Ganga, Yamuna, and mythical Saraswati rivers at Prayagraj."
188,Central,Uttar Pradesh,Jhansi,Jhansi Fort,Fort,1613,1.5,4.4,15,Yes,None,Historical,Yes,All,,A historic fortress closely associated with Rani Lakshmibai and India's First War of Independence.
189,Central,Uttar Pradesh,Sarnath,Dhamek Stupa,Monument,-500,1,4.6,5,Yes,None,Historical,Yes,All,,A monumental Buddhist stupa marking the site where Lord Buddha delivered his first sermon.
190,Central,Uttar Pradesh,Fatehpur Sikri,Buland Darwaza,Monument,1571,2,4.4,40,Yes,None,Historical,Yes,Afternoon,,"A grand Mughal gateway at Fatehpur Sikri, symbolizing Emperor Akbar's architectural vision."
191,Central,Uttar Pradesh,Noida,Okhla Bird Sanctuary,Bird Sanctuary,1990,1.5,4.3,30,Yes,None,Wildlife,Yes,All,,A protected wetland habitat home to numerous migratory birds and diverse aquatic wildlife.
192,Central,Uttar Pradesh,Aligarh,Aligarh Fort,Fort,1524,1,4.1,20,Yes,None,Historical,Yes,Afternoon,,A historic fort showcasing impressive military architecture and significant regional heritage.
193,Central,Uttar Pradesh,Meerut,Augarnath Temple,Temple,Unknown,1,4.8,0,Yes,None,Religious,No,All,,A revered temple in Meerut closely linked to the events of the 1857 Indian Rebellion.
194,Central,Uttar Pradesh,Kanpur,Allen Forest Zoo,Zoo,1971,2,4.2,150,Yes,Monday,Wildlife,Yes,All,,A spacious zoological park in Kanpur featuring diverse wildlife in a natural forest environment.
195,Northern,Jammu and Kashmir,Srinagar,Dal Lake,Lake,Unknown,2,4.6,0,Yes,None,Nature,Yes,Morning,,"Kashmir's iconic lake renowned for houseboats, shikara rides, and breathtaking Himalayan scenery."
196,Northern,Ladakh,Leh,Pangong Tso,Lake,Unknown,2,4.9,20,Yes,None,Nature,Yes,Morning,,A stunning high-altitude lake famous for its crystal-clear blue waters and changing colors.
197,Northern,Jammu and Kashmir,Pahalgam,Betaab Valley,Valley,Unknown,2,4.6,100,No,None,Nature,Yes,All,,"A picturesque Kashmir valley surrounded by snow-capped mountains, lush meadows, and flowing streams."
198,Northern,Jammu and Kashmir,Jammu,Vaishno Devi,Temple,Unknown,5,4.7,0,Yes,None,Religious,No,All,,"One of India's most sacred pilgrimage destinations, nestled in the Trikuta Hills of Jammu."
199,Northern,Jammu and Kashmir,Udhampur,Patnitop Height,Hill,Unknown,2,4.1,0,No,None,Recreational,Yes,All,,"A scenic hill station offering lush meadows, adventure activities, and panoramic Himalayan views."
200,Northern,Jammu and Kashmir,Anantnag,Amarnath Cave,Temple,Unknown,6,4.5,0,No,None,Religious,Yes,All,,A revered Himalayan cave shrine famous for its naturally formed ice Shiva Lingam.
201,Northern,Ladakh,Leh,Thiksey Monastery,Monastery,1430,1.5,4.7,20,Yes,None,Religious,No,All,,"A magnificent Tibetan Buddhist monastery overlooking the Indus Valley, known for its grand Maitreya Buddha statue."
202,Northern,Ladakh,Nubra Valley,Nubra Valley,Valley,Unknown,2,4.5,0,No,None,Nature,Yes,All,,"A breathtaking cold desert featuring sand dunes, double-humped camels, and dramatic Himalayan landscapes."
203,Northern,Ladakh,Kargil,Kargil War Memorial,War Memorial,24,1,4.8,0,No,None,Historical,Yes,All,,A solemn memorial honoring the brave Indian soldiers who sacrificed their lives during the 1999 Kargil War.
204,Northern,Ladakh,Diskit,Diskit Monastery,Monastery,1351,1,4.7,20,No,None,Religious,No,Morning,,"The oldest and largest monastery in Nubra Valley, renowned for its giant Maitreya Buddha statue and panoramic Himalayan views."
205,Northern,Jammu and Kashmir,Kishtwar,Kishtwar National Park,National Park,1981,3,4.3,100,No,None,Wildlife,Yes,All,,"A pristine Himalayan national park known for its rich biodiversity, alpine meadows, and endangered wildlife."
206,Northern,Ladakh,Hemis,Hemis National Park,National Park,1981,4,4.4,20,No,None,Wildlife,Yes,All,,"India's largest national park, famous for snow leopards, rugged mountains, and unique Himalayan ecosystems."
207,Northern,Ladakh,Dras,Dras War Memorial,War Memorial,Unknown,1,4.8,0,No,None,Historical,Yes,All,,A solemn memorial honoring the brave soldiers who sacrificed their lives during the Kargil War of 1999.
208,Northern,Ladakh,Leh,Magnetic Hill,Gravity Hill,Unknown,0.5,3.7,0,Yes,None,Nature,Yes,All,,A solemn memorial honoring the brave soldiers who sacrificed their lives during the Kargil War of 1999.
209,Northern,Ladakh,Leh,Khardung La Pass,Hill,Unknown,1,4.5,0,Yes,None,Adventure,Yes,Afternoon,,"One of the world's highest motorable mountain passes, offering spectacular views of the Ladakh region."
210,Northern,Ladakh,Leh,Thiksey Monastery,Monastery,1430,1.5,4.7,30,Yes,None,Religious,No,All,,"A magnificent Tibetan Buddhist monastery overlooking the Indus Valley, renowned for its towering Maitreya Buddha statue."
211,Central,Uttar Pradesh,Vrindavan,Prem Mandir,Temple,2012,1.5,4.8,0,Yes,None,Religious,Yes,Evening,,"An exquisite white marble temple dedicated to Radha Krishna, celebrated for its illuminated architecture and gardens."
212,Central,Uttar Pradesh,Porbandar,Kirti Mandir,Memorial,1950,1,4.8,0,Yes,None,Historical,Yes,Morning,,A sacred temple in Mathura associated with the birthplace and legacy of Lord Krishna.
213,Central,Uttar Pradesh,Mathura,Nand Gaon,Village,Unknown,1,4.1,0,Yes,None,Cultural,Yes,Morning,,A revered village believed to be the childhood home of Lord Krishna and Nanda Maharaj.
214,Central,Uttar Pradesh,Mathura,Barsana Mandir,Temple,Unknown,1,4.8,0,Yes,None,Religious,Yes,Morning,,"A famous hilltop temple dedicated to Radha Rani, renowned for the vibrant Lathmar Holi festival."
215,Eastern,West Bengal,Darjeeling,Tiger Hill,Sunrise Point,Unknown,1,4.5,0,No,None,Nature,Yes,All,,A scenic viewpoint famous for breathtaking sunrise views over Kanchenjunga and the Himalayan peaks.
216,Eastern,West Bengal,Siliguri,Jaldapara National Park,Wildlife Sanctuary,1941,3,4.4,250,Yes,None,Wildlife,Yes,All,,A renowned wildlife sanctuary known for the endangered one-horned rhinoceros and elephant safaris.
217,Eastern,West Bengal,Sundarbans,Sundarbans National Park,National Park,1984,4,4.4,60,No,None,Wildlife,Yes,All,,A UNESCO World Heritage Site famous for its mangrove forests and the elusive Royal Bengal Tiger.
218,Eastern,West Bengal,Digha,Digha Beach,Beach,Unknown,1.5,4.5,0,No,None,Recreational,Yes,Morning,,"A popular seaside destination offering sandy shores, calm waves, and stunning sunsets."
219,Eastern,West Bengal,Murshidabad,Hazarduari Palace,Palace,1837,1.5,4.5,10,Yes,Friday,Historical,Yes,Morning,,A magnificent palace museum famed for its thousand doors and rich collection of royal artifacts.
220,Eastern,West Bengal,Bolpur,Kankalitala Temple,Temple,Unknown,0.5,4.7,0,Yes,None,Religious,No,All,,A revered Shakti Peetha attracting devotees with its deep spiritual and religious significance.
221,Eastern,West Bengal,Hooghly,Hangseswari Temple,Temple,1814,0.5,4.6,0,Yes,None,Architectural,No,All,,A unique temple celebrated for its distinctive lotus-shaped towers and spiritual ambiance.
222,Eastern,West Bengal,Jalpaiguri,Gorumara National Park,National Park,1949,3,4.4,100,Yes,None,Wildlife,Yes,All,,"A scenic wildlife reserve known for Indian rhinoceroses, elephants, and lush forests."
223,Eastern,West Bengal,Cooch Behar,Cooch Behar Palace,Palace,1887,1,4.5,20,Yes,Friday,Historical,Yes,All,,"A grand royal palace inspired by European architecture, reflecting Bengal's regal heritage."
224,Eastern,West Bengal,Purulia,Ayodhya Hills,Hill,Unknown,2.5,4.5,0,No,None,Nature,Yes,All,,"A picturesque hill range offering waterfalls, trekking trails, and scenic natural landscapes."
225,Eastern,Odisha,Puri,Jagannath Temple,Temple,12th century,2,4.7,0,Yes,None,Religious,No,All,,"One of India's most sacred Hindu temples, renowned for the annual Rath Yatra festival."
226,Eastern,Odisha,Konark,Sun Temple,Temple,1250,1.5,4.7,40,Yes,None,Historical,Yes,All,,A UNESCO World Heritage Site famed for its magnificent stone chariot architecture and intricate carvings.
227,Eastern,Odisha,Bhubaneswar,Lingaraj Temple,Temple,11th century,1,4.6,0,Yes,None,Religious,No,All,,A magnificent ancient temple dedicated to Lord Shiva and a masterpiece of Kalinga architecture.
228,Eastern,Odisha,Rourkela,Khandadhar Waterfall,Waterfall,Unknown,1.5,4.5,0,No,None,Nature,Yes,All,,"Odisha's highest waterfall, cascading dramatically amidst dense forests and rocky cliffs."
229,Eastern,Odisha,Cuttack,Barabati Fort,Fort,-987,1,4.5,0,Yes,None,Historical,Yes,All,,A historic medieval fort showcasing the glorious heritage of the Ganga dynasty.
230,Eastern,Odisha,Sambalpur,Hirakud Dam,Dam,1957,1,4.5,0,No,None,Engineering Marvel,Yes,All,,"One of the world's longest earthen dams, surrounded by scenic reservoirs and wildlife."
231,Eastern,Odisha,Chilika,Chilika Lake,Lake,Unknown,2,3.9,0,Yes,None,Nature,Yes,Morning,,"Asia's largest brackish water lagoon, famous for migratory birds and Irrawaddy dolphins."
232,Eastern,Odisha,Berhampur,Tara Tarini Temple,Temple,Ancient,1,4.6,0,Yes,None,Religious,No,All,,"A revered hilltop temple dedicated to Goddess Tara and Goddess Tarini, overlooking the Rushikulya River."
233,Eastern,Odisha,Keonjhar,Badaghagara Waterfall,Waterfall,Unknown,1,4.3,0,No,None,Nature,Yes,Morning,,"A picturesque waterfall surrounded by lush forests, ideal for nature lovers and photographers."
234,Eastern,Odisha,Balasore,Chandipur Beach,Beach,Unknown,1.5,4.2,0,Yes,None,Recreational,Yes,Morning,,"A unique beach where the sea recedes several kilometers during low tide, revealing the seabed."
235,Eastern,Odisha,Kendujhar,Sanaghagara Waterfall,Waterfall,Unknown,1,4.4,0,No,None,Nature,Yes,All,,"A serene waterfall nestled amidst forests, offering a peaceful retreat into nature."
236,Southern,Tamil Nadu,Chennai,Marina Beach,Beach,Unknown,1.5,3.9,0,Yes,None,Recreational,Yes,Morning,,"One of the world's longest urban beaches, renowned for its lively promenade and scenic coastline."
237,Southern,Tamil Nadu,Madurai,Meenakshi Amman Temple,Temple,6th century AD,2,4.7,0,Yes,None,Religious,No,All,,"A magnificent temple celebrated for its colorful gopurams, intricate sculptures, and spiritual significance."
238,Southern,Tamil Nadu,Rameswaram,Ramanathaswamy Temple,Temple,12th century,1.5,4.6,0,No,None,Religious,No,All,,"One of the sacred Char Dham pilgrimage sites, renowned for its magnificent corridors and Dravidian architecture."
239,Southern,Tamil Nadu,Kanyakumari,Vivekananda Rock Memorial,Memorial,1970,1,4.6,20,Yes,None,Historical,No,Morning,,A revered monument built on a rocky island where Swami Vivekananda meditated before his spiritual journey.
240,Southern,Tamil Nadu,Ooty,Ooty Lake,Lake,1824,1,4.1,10,Yes,None,Recreational,Yes,Morning,,"A picturesque artificial lake offering boating, scenic beauty, and family-friendly recreation"
241,Southern,Tamil Nadu,Coimbatore,Marudamalai Temple,Temple,12th century,1,4.7,0,Yes,None,Religious,No,All,,"A renowned hilltop temple dedicated to Lord Murugan, offering panoramic views and spiritual serenity."
242,Southern,Tamil Nadu,Kodaikanal,Kodaikanal Lake,Lake,1863,2,3.9,0,No,None,Recreational,Yes,Morning,,"A star-shaped lake surrounded by lush greenery, ideal for boating and leisurely walks."
243,Southern,Tamil Nadu,Thanjavur,Brihadeeswarar Temple,Temple,110,1.5,4.8,0,Yes,None,Religious,No,All,,A UNESCO World Heritage temple showcasing the grandeur of Chola architecture and engineering.
244,Southern,Tamil Nadu,Mahabalipuram,Shore Temple,Temple,7th century,1,4.6,40,Yes,None,Historical,No,All,,"A UNESCO-listed seaside temple complex overlooking the Bay of Bengal, built during the Pallava dynasty."
245,Southern,Tamil Nadu,Yercaud,Yercaud Lake,Lake,Unknown,1,4.2,0,No,None,Recreational,Yes,Morning,,"A tranquil lake nestled amidst hills, offering boating and peaceful natural surroundings."
246,Southern,Tamil Nadu,Tirunelveli,Nellaiappar Temple,Temple,7th century,1,4.6,0,Yes,None,Religious,No,All,,"A magnificent twin temple complex dedicated to Lord Shiva and Goddess Parvati, renowned for its musical pillars."
247,Southern,Tamil Nadu,Chidambaram,Nataraja Temple,Temple,10th century,1,4.7,0,Yes,None,Religious,No,All,,A sacred temple in Chidambaram celebrating Lord Shiva's cosmic dance through remarkable architecture.
248,Southern,Andhra Pradesh,Vijayawada,Kanaka Durga Temple,Temple,Unknown,1,4.7,0,Yes,None,Religious,No,All,,"A revered hilltop temple dedicated to Goddess Durga, overlooking the Krishna River."
249,Southern,Andhra Pradesh,Visakhapatnam,Rishikonda Beach,Beach,Unknown,1.5,4.5,0,Yes,None,Recreational,Yes,Morning,,"A pristine beach known for golden sands, water sports, and breathtaking coastal views."
250,Southern,Andhra Pradesh,Srisailam,Mallikarjuna Swamy Temple,Temple,14th century,1,4.7,0,No,None,Religious,No,All,,"One of the twelve sacred Jyotirlingas, nestled amidst the scenic Nallamala Hills."
251,Southern,Andhra Pradesh,Rajahmundry,Papikondalu,Hill,Unknown,2,4.3,0,Yes,None,Nature,Yes,All,,"A breathtaking river gorge along the Godavari River, renowned for its lush hills and scenic boat cruises."
252,Southern,Andhra Pradesh,Anantapur,Lepakshi,Site,16th century,1.5,4.6,0,No,None,Historical,Yes,All,,A historic temple town famous for its hanging pillar and exquisite Vijayanagara-era architecture.
253,Southern,Andhra Pradesh,Kurnool,Belum Caves,Cave,Unknown,1.5,4.4,65,Yes,None,Natural Wonder,Yes,Afternoon,,"India's second-longest natural cave system, featuring stunning limestone formations and underground passages."
254,Southern,Andhra Pradesh,Amravati,Amaravathi Temple,Temple,Unknown,1,4.7,0,Yes,None,Religious,No,All,,A revered temple and historic Buddhist site reflecting Andhra Pradesh's rich spiritual heritage.
255,Southern,Andhra Pradesh,Guntur,Uppalapadu Bird Sanctuary,Bird Sanctuary,Unknown,1,4.4,10,Yes,None,Wildlife,Yes,All,,"A thriving bird sanctuary attracting thousands of migratory pelicans, storks, and other waterbirds."
256,Southern,Andhra Pradesh,Kadapa,Gandikota Fort,Fort,12th century,1.5,4.5,0,No,None,Historical,Yes,Morning,,"A majestic hilltop fort overlooking the dramatic Pennar River gorge, known as India's Grand Canyon."
257,Southern,Andhra Pradesh,Puttaparthi,Prasanthi Nilayam,Spiritual Center,1950,1,4.7,0,Yes,None,Religious,Yes,All,,"The spiritual headquarters of Sri Sathya Sai Baba, welcoming devotees from around the world."
258,Southern,Andhra Pradesh,Vizianagaram,Simhachalam Temple,Temple,198,1,4.7,0,Yes,None,Religious,No,All,,"A revered hilltop temple dedicated to Lord Narasimha, blending Chola and Kalinga architectural styles."
259,Southern,Andhra Pradesh,Visakhapatnam,Kailasagiri,Hill,Unknown,2,4.5,0,Yes,None,Recreational,Yes,All,,"A scenic hill park offering panoramic city views, gardens, ropeway rides, and giant Shiva-Parvati statues."
260,Southern,Andhra Pradesh,Visakhapatnam,Submarine Museum,Museum,22,1,4.6,40,Yes,None,Historical,Yes,All,,"A unique museum housed inside a decommissioned submarine, showcasing India's naval heritage."
261,Southern,Andhra Pradesh,Visakhapatnam,Borra Caves,Cave,Unknown,2,4.5,60,No,None,Natural Wonder,Yes,Afternoon,,"Spectacular limestone caves featuring remarkable stalactites, stalagmites, and natural rock formations."
262,Southern,Andhra Pradesh,Visakhapatnam,War Memorial,War Memorial,Unknown,1,4.6,0,Yes,None,Historical,Yes,All,,A commemorative monument honoring the courage and sacrifice of India's armed forces.
263,Southern,Andhra Pradesh,Visakhapatnam,Indira Gandhi Zoological Park,Zoo,1977,2,4.1,20,Yes,Monday,Wildlife,Yes,Afternoon,,A sprawling zoological park featuring diverse wildlife amidst the scenic Eastern Ghats.
264,Southern,Andhra Pradesh,Visakhapatnam,Matsyadarshini Aquarium,Aquarium,Unknown,1,3.8,20,Yes,None,Recreational,Yes,All,,A popular aquarium displaying colorful marine and freshwater species through engaging exhibits.
265,Southern,Andhra Pradesh,Visakhapatnam,Visakha Museum,Museum,1991,1,4.3,10,Yes,None,Cultural,Yes,All,,"A heritage museum preserving Visakhapatnam's maritime, cultural, and historical legacy."
266,Eastern,Sikkim,Gangtok,Nathula Pass,Hill,Unknown,2,4.3,20,Yes,None,Historical,Yes,Afternoon,,"A historic Himalayan mountain pass connecting India and Tibet, known for breathtaking landscapes."
267,Eastern,Sikkim,Pelling,Pemayangtse Monastery,Monastery,1705,1,4.6,20,No,None,Religious,No,Morning,,"One of Sikkim's oldest monasteries, renowned for its exquisite Buddhist artwork and peaceful ambiance."
268,Eastern,Sikkim,Namchi,Char Dham,Religious Complex,211,2,4.7,50,Yes,None,Religious,No,All,,"A sacred pilgrimage circuit comprising Yamunotri, Gangotri, Kedarnath, and Badrinath in the Himalayas."
269,Eastern,Sikkim,Gangtok,Rumtek Monastery,Monastery,1960s,1,4.6,10,Yes,None,Religious,No,Morning,,"Sikkim's largest monastery, celebrated for its stunning Tibetan architecture and spiritual significance."
270,Eastern,Sikkim,Ravangla,Buddha Park,Park,213,1,4.8,50,Yes,None,Cultural,Yes,All,,A beautifully landscaped park featuring a towering Buddha statue amidst serene mountain surroundings.
